Link,name,brand,image,price
https://www.macys.com/shop/product/tommy-hilfiger-mens-blue-silicone-strap-watch-45mm-created-for-macys?ID=2792377&CategoryID=239616,"Men's  Blue Silicone Strap Watch 45mm , Created for Macy's",Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/8/optimized/3552978_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
https://www.macys.com/shop/product/tommy-hilfiger-womens-red-silicone-strap-watch-35mm-created-for-macys?ID=8226642&CategoryID=239616,Women's  Red Silicone Strap Watch 35mm Created for Macy’s,Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/3/optimized/11868223_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
https://www.macys.com/shop/product/mvmt-mens-chronograph-ember-black-element-black-leather-strap-watch-44mm?ID=10255927&CategoryID=239616,Men's Chronograph Ember Black Element Black Leather Strap Watch 44mm,MVMT,"https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15510841_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$135.00 
https://www.macys.com/shop/product/folio-womens-blush-vegan-leather-strap-watch-38mm-box-set?ID=10233407&CategoryID=239616,Women's Blush Vegan Leather Strap Watch 38mm Box Set,Folio,"https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15415366_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$40.00 
https://www.macys.com/shop/product/seiko-mens-essentials-chronograph-black-silicone-strap-watch-43.9mm?ID=9977575&CategoryID=239616,Men's Essentials Chronograph Black Silicone Strap Watch 43.9mm,Seiko,"https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15800786_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$275.00 
https://www.macys.com/shop/product/citizen-eco-drive-mens-chandler-black-leather-strap-watch-42mm?ID=9574311&CategoryID=239616,Eco-Drive Men's Chandler Black Leather Strap Watch 42mm,Citizen,"https://slimages.macysassets.com/is/image/MCY/products/5/optimized/15800825_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$250.00 
https://www.macys.com/shop/product/fitbit-versa-2-rose-elastomer-strap-touchscreen-smart-watch-39mm?ID=10130332&CategoryID=239616,Versa 2 Rose Elastomer Strap Touchscreen Smart Watch 39mm,Fitbit,"https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15123981_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$199.95 
https://www.macys.com/shop/product/fitbit-versa-2-black-elastomer-strap-touchscreen-smart-watch-39mm?ID=10130328&CategoryID=239616,Versa 2 Black Elastomer Strap Touchscreen Smart Watch 39mm,Fitbit,"https://slimages.macysassets.com/is/image/MCY/products/0/optimized/15124710_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$199.95 
https://www.macys.com/shop/product/samsung-galaxy-active-2-black-silicone-strap-touchscreen-smart-watch-44mm?ID=10197443&CategoryID=239616,Galaxy Active 2 Black Silicone Strap Touchscreen Smart Watch 44mm,Samsung,"https://slimages.macysassets.com/is/image/MCY/products/4/optimized/15219064_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$299.99 
https://www.macys.com/shop/product/samsung-galaxy-bluetooth-watch-silver-46mm?ID=6838482&CategoryID=239616,"Galaxy Bluetooth Watch Silver, 46mm",Samsung,"https://slimages.macysassets.com/is/image/MCY/products/5/optimized/10085575_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$349.99 
https://www.macys.com/shop/product/samsung-galaxy-bluetooth-watch-midnight-black-42mm?ID=6838484&CategoryID=239616,"Galaxy Bluetooth Watch Midnight Black , 42mm",Samsung,"https://slimages.macysassets.com/is/image/MCY/products/7/optimized/10085317_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$329.99 
https://www.macys.com/shop/product/fitbit-versa-2-mist-gray-elastomer-strap-touchscreen-smart-watch-39mm?ID=10130330&CategoryID=239616,Versa 2 Mist Gray Elastomer Strap Touchscreen Smart Watch 39mm,Fitbit,"https://slimages.macysassets.com/is/image/MCY/products/3/optimized/15124233_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$199.95 
https://www.macys.com/shop/product/samsung-galaxy-active-2-black-silicone-strap-touchscreen-smart-watch-40mm?ID=10197453&CategoryID=239616,Galaxy Active 2 Black Silicone Strap Touchscreen Smart Watch 40mm,Samsung,"https://slimages.macysassets.com/is/image/MCY/products/3/optimized/15217353_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$279.99 
https://www.macys.com/shop/product/samsung-galaxy-active-2-blush-silicone-strap-touchscreen-smart-watch-40mm?ID=10197446&CategoryID=239616,Galaxy Active 2 Blush Silicone Strap Touchscreen Smart Watch 40mm,Samsung,"https://slimages.macysassets.com/is/image/MCY/products/2/optimized/15217582_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$279.99 
https://www.macys.com/shop/product/samsung-galaxy-bluetooth-watch-rose-gold-42mm?ID=6838483&CategoryID=239616,"Galaxy Bluetooth Watch Rose Gold, 42mm",Samsung,"https://slimages.macysassets.com/is/image/MCY/products/5/optimized/10085565_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$329.99 
https://www.macys.com/shop/product/tommy-hilfiger-mens-navy-silicone-strap-watch-46mm-created-for-macys?ID=5779645&CategoryID=239616,"Men's  Navy Silicone Strap Watch 46mm, Created for Macy's",Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/3/optimized/9290763_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$125.00 
https://www.macys.com/shop/product/fitbit-versa-2-smoke-fabric-strap-touchscreen-smart-watch-39mm-a-special-edition?ID=10130329&CategoryID=239616,Versa 2 Smoke Fabric Strap Touchscreen Smart Watch 39mm - A Special Edition,Fitbit,"https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15124651_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$229.95 
https://www.macys.com/shop/product/applewatch-series3-gpscellular-38mm-silver-aluminum-case-with-white-sport-band?ID=7119019&CategoryID=239616,"Apple Watch Series 3 GPS + Cellular, 38mm Silver Aluminum Case with White Sport Band",Apple Watch Series 3,"https://slimages.macysassets.com/is/image/MCY/products/0/optimized/9007110_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$379.00 
https://www.macys.com/shop/product/gucci-womens-swiss-guccissima-stainless-steel-bangle-bracelet-watch-36mm-ya134302?ID=855818&CategoryID=239616,Women's Swiss Guccissima Stainless Steel Bangle Bracelet Watch 36mm YA134302,Gucci,"https://slimages.macysassets.com/is/image/MCY/products/4/optimized/3660854_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$620.00 
https://www.macys.com/shop/product/samsung-galaxy-active-2-gray-silicone-strap-touchscreen-smart-watch-40mm?ID=10197457&CategoryID=239616,Galaxy Active 2 Gray Silicone Strap Touchscreen Smart Watch 40mm,Samsung,"https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15214316_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$279.99 
